Symbol,Name,Inception date,Category1,Category2,Category3,Market cap,Current dividend yield,Historical average dividend yield,Leverage factor,Average volume,Action,
NMCO,Nuveen Municipal Credit Opportunities Fund CEF,09/17/2019,US Fixed Income,Municipal bonds,High yield,"737,873,708.00  $",5%,5%,1.05,"195,822",Analyze,326
NMI,Nuveen Municipal Income Fund CEF,12/16/1988,US Fixed Income,Municipal bonds,Investment grade,"94,476,401.00  $",3%,6%,1.00,"28,004",Analyze,327
NML,Neuberger Berman MLP Income Fund Inc. CEF,03/26/2013,Special Security Types,MLPs,Energy,"326,922,015.00  $",3%,7%,1.36,"159,619",Analyze,328
NMS,Nuveen Minnesota Quality Municipal Income Fund CEF,10/08/2014,US Fixed Income,Municipal bonds,Investment grade,"86,735,790.00  $",4%,5%,1.69,"6,057",Analyze,329
NMT,Nuveen Massachusetts Quality Municipal Income Fund CEF,10/27/1994,US Fixed Income,Municipal bonds,Investment grade,"125,677,248.00  $",4%,6%,1.54,"12,139",Analyze,330
NMZ,Nuveen Municipal High Income Opportunity Fund CEF,11/20/2003,US Fixed Income,Municipal bonds,High yield,"1,322,182,562.00  $",6%,7%,1.49,"398,200",Analyze,331
NNY,Nuveen New York Municipal Value Fund CEF,10/07/1987,US Fixed Income,Municipal bonds,Investment grade,0.00  $,3%,5%,1.02,"26,975",Analyze,332
NOM,Nuveen Missouri Quality Municipal Income Fund CEF,08/18/1995,US Fixed Income,Municipal bonds,Investment grade,"34,165,579.00  $",4%,5%,1.57,"2,954",Analyze,333
NPCT,Nuveen Core Plus Impact Fund CEF,04/28/2021,US Fixed Income,Broad market,Unconstrained,"448,002,900.00  $",6%,6%,1.00,"96,814",Analyze,334
NPFD,Nuveen Variable Rate Preferred & Income Fund CEF,12/16/2021,Special Security Types,Preferred stock,U.S.,0.00  $,1%,3%,1.00,"72,248",Analyze,335
NPV,Nuveen Virginia Quality Municipal Income Fund CEF,10/27/1994,US Fixed Income,Municipal bonds,Investment grade,"248,833,222.00  $",4%,5%,1.56,"24,458",Analyze,336
NQP,Nuveen Pennsylvania Quality Municipal Income Fund CEF,02/21/1991,US Fixed Income,Municipal bonds,Investment grade,"503,927,450.00  $",5%,6%,1.59,"58,445",Analyze,337
NRGX,PIMCO Energy and Tactical Credit Opportunities Fund CEF,01/30/2019,Asset Allocation,US,Moderate,"618,744,243.00  $",5%,9%,1.00,"152,708",Analyze,338
NRK,Nuveen New York AMT-Free Quality Municipal Income Fund CEF,11/22/2002,US Fixed Income,Municipal bonds,Investment grade,"1,106,143,655.00  $",5%,5%,1.60,"191,968",Analyze,339
NRO,Neuberger Berman Real Estate Securities Income Fund Inc. CEF,10/29/2003,US Equity,Single sector,Real estate,"218,234,644.00  $",8%,11%,1.42,"160,605",Analyze,340
NSL,Nuveen Senior Income Fund CEF,10/27/1999,US Fixed Income,Bank loans,Broad market,"226,263,226.00  $",7%,8%,1.68,"232,664",Analyze,341
NTG,"Tortoise MLP Fund, Inc. CEF",01/02/2001,Special Security Types,MLPs,Energy,"2,164,254,828.00  $",7%,1%,1.78,"28,704",Analyze,342
NUO,Nuveen Ohio Quality Municipal Income Fund CEF,10/17/1991,US Fixed Income,Municipal bonds,Investment grade,"263,397,813.00  $",4%,5%,1.54,"29,755",Analyze,343
NUV,"Nuveen Municipal Value Fund, Inc. CEF",06/17/1987,US Fixed Income,Municipal bonds,Investment grade,"1,999,586,296.00  $",4%,6%,1.02,"599,224",Analyze,344
NUW,Nuveen AMT-Free Municipal Value Fund CEF,02/25/2009,US Fixed Income,Municipal bonds,Investment grade,"274,655,441.00  $",4%,5%,1.07,"39,631",Analyze,345
NVG,Nuveen AMT-Free Municipal Credit Income Fund CEF,03/27/2002,US Fixed Income,Municipal bonds,Unconstrained,"3,227,418,462.00  $",5%,6%,1.59,"590,261",Analyze,346
NXC,Nuveen California Select Tax-Free Income Portfolio CEF,06/19/1992,US Fixed Income,Municipal bonds,Investment grade,"100,042,614.00  $",3%,5%,1.00,"10,963",Analyze,347
NXDT,NexPoint Diversified Real Estate Trust CEF,11/08/2021,Asset Allocation,US,Moderate,"569,316,096.00  $",4%,"1,655.82%",1.10,"175,905",Analyze,348
NXJ,Nuveen New Jersey Quality Municipal Income Fund CEF,09/05/2001,US Fixed Income,Municipal bonds,Investment grade,"563,753,100.00  $",5%,6%,1.49,"96,506",Analyze,349
NXN,Nuveen New York Select Tax-Free Income Portfolio CEF,06/19/1992,US Fixed Income,Municipal bonds,Investment grade,"50,434,888.00  $",3%,5%,1.00,"4,834",Analyze,350
NXP,Nuveen Select Tax-Free Income Portfolio CEF,03/19/1992,US Fixed Income,Municipal bonds,Investment grade,"243,693,454.00  $",4%,5%,1.00,"117,912",Analyze,351
NZF,Nuveen Municipal Credit Income Fund CEF,09/26/2001,US Fixed Income,Municipal bonds,Unconstrained,"2,094,935,854.00  $",5%,6%,1.59,"412,584",Analyze,352
OCCI,"OFS Credit Company, Inc. CEF",10/05/2018,US Fixed Income,Bank loans,Broad market,"49,574,443.00  $",17%,15%,1.53,"55,575",Analyze,353
OIA,Invesco Municipal Income Opportunities Trust CEF,10/05/1988,US Fixed Income,Municipal bonds,Investment grade,"342,865,537.00  $",5%,6%,1.29,"161,279",Analyze,354
OPP,RiverNorth/DoubleLne Strategic Opportunity Fund CEF,09/28/2016,Asset Allocation,US,Moderate,"215,978,166.00  $",15%,12%,1.37,"141,865",Analyze,355
OXLC,Oxford Lane Capital CEF,01/20/2011,US Fixed Income,Bank loans,Broad market,"868,686,000.00  $",15%,16%,1.52,"1,647,357",Analyze,356
PAI,Western Asset Income Fund CEF,12/30/1987,Global Fixed Income,Global,Broad market,"131,228,271.00  $",4%,10%,1.01,"16,702",Analyze,357
PAXS,PIMCO Access Income Fund Common Shares of Beneficial Interest,01/27/2022,US Equity,Closed end funds,,0.00  $,0%,0%,1.00,0,Analyze,358
PCF,High Income Securities Fund CEF,07/09/1987,Asset Allocation,US,Moderate,"46,729,355.00  $",12%,8%,1.00,"102,797",Analyze,359
PCK,PIMCO California Municipal Income Fund II CEF,06/26/2002,US Fixed Income,Municipal bonds,Investment grade,"260,621,062.00  $",5%,6%,1.88,"84,983",Analyze,360
PCM,"PCM Fund, Inc. CEF",08/27/1993,US Fixed Income,Municipal bonds,Unconstrained,"125,922,990.00  $",9%,10%,1.64,"34,774",Analyze,361
PCN,PIMCO Corporate & Income Strategy Fund CEF,12/19/2001,US Fixed Income,Broad market,Investment grade,"622,768,085.00  $",9%,10%,1.35,"148,784",Analyze,362
PCQ,PIMCO California Municipal Income Fund CEF,06/27/2001,US Fixed Income,Municipal bonds,Investment grade,"288,839,838.00  $",5%,6%,1.94,"31,714",Analyze,363
PDI,PIMCO Dynamic Income Fund CEF,05/25/2012,Global Fixed Income,Global,Broad market,"1,665,041,675.00  $",11%,12%,1.69,"1,091,533",Analyze,364
PDO,PIMCO Dynamic Income Opportunities Fund CEF,01/27/2021,US Fixed Income,Broad market,Investment grade,"1,687,597,824.00  $",10%,8%,1.82,"549,858",Analyze,365
PDT,John Hancock Premium Dividend Fund CEF,12/15/1989,US Equity,Single sector,Utilities,"770,275,420.00  $",7%,8%,1.52,"96,198",Analyze,366
PEO,"Adams Natural Resources Fund, Inc. CEF",12/30/1987,US Equity,Thematic,Infrastructure,"455,805,191.00  $",4%,6%,1.01,"104,821",Analyze,367
PFD,Flaherty & Crumrine Preferred and Income Fund CEF,01/15/1991,Special Security Types,Preferred stock,U.S.,"170,975,156.00  $",8%,8%,1.50,"27,633",Analyze,368
PFL,PIMCO Income Strategy Fund CEF,08/27/2003,US Fixed Income,Broad market,Unconstrained,"347,828,909.00  $",10%,10%,1.42,"166,322",Analyze,369
PFN,PIMCO Income Strategy Fund II CEF,10/27/2004,US Fixed Income,Broad market,Investment grade,"680,436,127.00  $",10%,10%,1.38,"395,726",Analyze,370
PFO,Flaherty & Crumrine Preferred Income Opportunity Fund Incorporated CEF,02/06/1992,Special Security Types,Preferred stock,U.S.,"141,244,882.00  $",9%,9%,1.50,"36,677",Analyze,371
PGP,PIMCO Global StocksPLUS & Income Fund CEF,05/26/2005,Asset Allocation,Global,Moderate,"107,694,693.00  $",8%,12%,2.55,"49,551",Analyze,372
PGZ,Principal Real Estate Income Fund CEF,06/26/2013,Asset Allocation,US,Moderate,"103,338,146.00  $",8%,9%,1.42,"31,959",Analyze,373
PHD,Pioneer Floating Rate Trust CEF,12/23/2004,US Fixed Income,Bank loans,Broad market,"138,559,680.00  $",7%,9%,1.55,"41,723",Analyze,374
PHK,PIMCO High Income Fund CEF,04/25/2003,Global Fixed Income,Global,Broad market,"776,822,406.00  $",10%,12%,1.46,"603,545",Analyze,375
PHT,Pioneer High Income Trust CEF,04/26/2002,US Fixed Income,Corporate bonds,High yield,"249,694,306.00  $",11%,15%,1.49,"98,609",Analyze,376
PHYS,Sprott Physical Gold Trust CEF,02/26/2010,Commodities,Broad market,Actively managed,"5,029,580,675.00  $",0%,0%,1.00,"2,552,575",Analyze,377
PIM,Putnam Master Intermediate Income Trust CEF,04/19/1988,Global Fixed Income,Global,Investment grade,"181,673,263.00  $",9%,9%,2.54,"107,572",Analyze,378
PMF,PIMCO Municipal Income Fund CEF,06/27/2001,US Fixed Income,Municipal bonds,Investment grade,"329,650,960.00  $",5%,6%,1.85,"60,460",Analyze,379
PML,PIMCO Municipal Income Fund II CEF,06/26/2002,US Fixed Income,Municipal bonds,Investment grade,"833,069,578.00  $",5%,6%,1.87,"129,461",Analyze,380
PMM,Putnam Managed Municipal Income Trust CEF,06/30/1989,US Fixed Income,Municipal bonds,High yield,"355,357,600.00  $",6%,7%,1.11,"198,336",Analyze,381
PMO,Putnam Municipal Opportunities Trust CEF,10/27/1994,US Fixed Income,Municipal bonds,Investment grade,"418,866,944.00  $",6%,7%,1.14,"94,010",Analyze,382
PMX,PIMCO Municipal Income Fund III CEF,10/29/2002,US Fixed Income,Municipal bonds,Investment grade,"352,566,625.00  $",5%,6%,1.85,"95,708",Analyze,383
PNF,PIMCO New York Municipal Income Fund CEF,06/27/2001,US Fixed Income,Municipal bonds,Investment grade,"82,417,447.00  $",5%,6%,1.90,"33,530",Analyze,384
PNI,PIMCO New York Municipal Income Fund II CEF,06/26/2002,US Fixed Income,Municipal bonds,Investment grade,"113,227,640.00  $",5%,6%,1.85,"20,853",Analyze,385
PPT,Putnam Premier Income Trust CEF,02/19/1988,Global Fixed Income,Global,Broad market,"408,766,513.00  $",9%,9%,1.76,"281,863",Analyze,386
PSF,"Cohen & Steers Select Preferred and Income Fund, Inc. CEF",11/26/2010,Special Security Types,Preferred stock,U.S.,"272,055,552.00  $",11%,9%,1.42,"49,732",Analyze,387
PSLV,Sprott Physical Silver Trust CEF,10/29/2010,Commodities,Precious metals,Silver,"3,517,133,519.00  $",0%,0%,1.00,"3,414,995",Analyze,388
PTA,Cohen & Steers Tax-Advantaged Preferred Securities and Income Fund CEF,10/28/2020,Special Security Types,Preferred stock,Global,"1,196,117,609.00  $",8%,7%,1.49,"189,521",Analyze,389
PTY,PIMCO Corporate & Income Opportunity Fund CEF,12/24/2002,Global Fixed Income,Global,Broad market,"1,589,832,189.00  $",10%,11%,1.46,"588,188",Analyze,390
PYN,PIMCO New York Municipal Income Fund III CEF,10/29/2002,US Fixed Income,Municipal bonds,Investment grade,"48,139,085.00  $",5%,6%,1.95,"10,980",Analyze,391
PZC,PIMCO California Municipal Income Fund III CEF,10/29/2002,US Fixed Income,Municipal bonds,Investment grade,"212,326,755.00  $",5%,6%,1.92,"50,563",Analyze,392
QQQX,Nuveen Nasdaq 100 Dynamic Overwrite Fund CEF,02/01/2007,Alternatives,Options,Covered calls,"1,103,695,114.00  $",7%,8%,1.00,"191,904",Analyze,393
RA,Brookfield Real Assets Income Fund Inc. CEF,12/05/2016,US Equity,Thematic,Infrastructure,"899,365,582.00  $",12%,12%,1.25,"318,379",Analyze,394
RCG,"RENN Fund, Inc. CEF",05/15/1996,Asset Allocation,US,Moderate,"17,188,673.00  $",2%,8%,1.00,"44,704",Analyze,395
RCS,"PIMCO Strategic Income Fund, Inc. CEF",02/24/1994,Global Fixed Income,Global,Broad market,"269,594,573.00  $",10%,10%,1.25,"145,765",Analyze,396
RFI,"Cohen & Steers Total Return Realty Fund, Inc. CEF",10/27/1994,US Equity,Single sector,Real estate,"411,084,380.00  $",8%,10%,1.01,"56,239",Analyze,397
RFM,RiverNorth Flexible Municipal Income Fund CEF,03/27/2020,US Fixed Income,Municipal bonds,Unconstrained,"120,337,276.00  $",12%,8%,1.00,"32,736",Analyze,398
RFMZ,"RiverNorth Flexible Municipal Income Fund II, Inc. CEF",02/24/2021,US Fixed Income,Municipal bonds,Unconstrained,"409,353,018.00  $",7%,6%,1.00,"83,587",Analyze,399
RGT,Royce Global Value Trust CEF,10/09/2013,Global Equity,Global,Small cap,"119,319,419.00  $",24%,5%,1.05,"10,813",Analyze,400
RIV,Rivernorth Opportunities Fund CEF,12/24/2015,Asset Allocation,US,Moderate,"206,213,905.00  $",16%,15%,1.19,"152,211",Analyze,401
RMI,"RiverNorth Opportunistic Municipal Income Fund, Inc. CEF",10/26/2018,US Fixed Income,Municipal bonds,Unconstrained,"127,784,023.00  $",12%,7%,1.00,"22,162",Analyze,402
RMM,RiverNorth Managed Duration Municipal Income CEF,07/26/2019,US Fixed Income,Municipal bonds,Unconstrained,"343,270,201.00  $",7%,10%,1.57,"73,582",Analyze,403
RMMZ,"RiverNorth Managed Duration Municipal Income Fund II, Inc. Common Stock",02/11/2022,US Equity,Closed end funds,,0.00  $,0%,0%,1.00,0,Analyze,404
RMT,"Royce Micro-Cap Trust, Inc. CEF",12/15/1993,US Equity,Broad market,Micro cap,"450,814,797.00  $",8%,9%,1.04,"170,936",Analyze,405
RNP,"Cohen & Steers REIT and Preferred Income Fund, Inc. CEF",06/25/2003,Asset Allocation,US,Moderate,"1,195,740,510.00  $",7%,9%,1.33,"134,903",Analyze,406
RQI,"Cohen & Steers Quality Income Realty Fund, Inc. CEF",02/26/2002,US Equity,Single industry,REITs,"2,107,618,695.00  $",7%,11%,1.31,"460,321",Analyze,407
RSF,RiverNorth Marketplace Lending Corporation CEF,06/12/2019,US Fixed Income,Broad market,Investment grade,"106,537,505.00  $",10%,21%,1.00,"18,321",Analyze,408
RVT,"Royce Value Trust, Inc. CEF",01/15/1986,US Equity,Broad market,Small cap,"1,826,300,366.00  $",9%,7%,1.05,"366,591",Analyze,409
SBI,Western Asset Intermediate Muni Fund Inc. CEF,03/17/1992,US Fixed Income,Municipal bonds,Investment grade,"127,163,304.00  $",3%,5%,1.33,"22,773",Analyze,410
SCD,LMP Capital and Income Fund Inc. CEF,02/25/2004,Asset Allocation,US,Moderate,"256,490,263.00  $",11%,10%,1.29,"57,173",Analyze,411
SDHY,PGIM Short Duration High Yield Opportunities Fund CEF,11/25/2020,US Fixed Income,Broad market,High yield,0.00  $,7%,6%,1.20,"63,468",Analyze,412
SMM,Salient Midstream & MLP Fund CEF,05/25/2012,Special Security Types,MLPs,Energy,"129,595,401.00  $",4%,7%,1.42,"80,977",Analyze,413
SOR,"Source Capital, Inc. CEF",06/01/1968,Asset Allocation,US,Moderate,"355,379,593.00  $",11%,12%,1.01,"11,244",Analyze,414
SPE,Special Opportunities Fund CEF,10/27/1994,Special Security Types,Closed end funds,,"124,199,142.00  $",9%,7%,1.45,"53,890",Analyze,415
SPPP,Sprott Physical Platinum & Palladium Trust CEF,12/19/2012,Commodities,Precious metals,Broad market,"146,740,221.00  $",0%,0%,1.02,"94,223",Analyze,416
SPXX,Nuveen S&P 500 Dynamic Overwrite Fund CEF,11/23/2005,Alternatives,Options,Covered calls,"298,277,001.00  $",6%,8%,1.02,"66,492",Analyze,417
SRV,Cushing MLP Total Return Fund CEF,08/27/2007,Special Security Types,MLPs,Energy,"69,431,834.00  $",6%,3%,1.64,"12,683",Analyze,418
SSSS,SuRo Capital Corp. CEF,07/01/2019,US Equity,Single industry,Information technology,"343,645,331.00  $",65%,43%,1.01,"338,837",Analyze,419
STK,"Columbia Seligman Premium Technology Growth Fund, Inc. CEF",11/27/2009,Alternatives,Options,Covered calls,"529,059,297.00  $",9%,10%,1.00,"61,608",Analyze,420
SWZ,"The Swiss Helvetia Fund, Inc. CEF",01/05/1988,Global Equity,Single country,Multi-cap,"122,143,121.00  $",6%,5%,1.00,"19,959",Analyze,421
SZC,The Cushing NextGen Infrastructure Income Fund CEF,09/26/2012,US Equity,Single sector,Energy,"110,208,605.00  $",8%,12%,1.31,"27,694",Analyze,422
TBLD,Thornburg Income Builder Opportunities Trust,07/28/2021,Asset Allocation,US,Moderate,"320,250,000.00  $",4%,7%,1.00,"150,389",Analyze,423
TDF,"Templeton Dragon Fund, Inc. CEF",02/15/1995,Global Equity,Single country,Multi-cap,"531,063,087.00  $",15%,10%,1.00,"77,518",Analyze,424
TEAF,Tortoise Essential Assets Income Term Fund CEF,03/27/2019,Asset Allocation,Global,Moderate,"199,938,502.00  $",9%,8%,1.00,"38,124",Analyze,425
TEI,Templeton Emerging Markets Income Fund CEF,10/27/1994,Global Fixed Income,Emerging markets,Broad market,"334,870,563.00  $",11%,11%,1.00,"147,992",Analyze,426
THQ,Tekla Healthcare Opportunities Fund CEF,07/29/2014,US Equity,Single sector,Health care,"912,797,048.00  $",7%,7%,1.26,"95,238",Analyze,427
THW,Tekla World Healthcare Fund CEF,06/26/2015,US Equity,Single sector,Health care,"543,890,615.00  $",10%,10%,1.34,"145,616",Analyze,428
TPZ,"Tortoise Power and Energy Infrastructure Fund, Inc. CEF",07/29/2009,Asset Allocation,US,Moderate,"98,847,955.00  $",5%,7%,1.40,"23,849",Analyze,429
TSI,"TCW Strategic Income Fund, Inc. CEF",01/05/1988,US Fixed Income,Broad market,Unconstrained,"250,201,820.00  $",7%,12%,1.03,"84,904",Analyze,430
TTP,"Tortoise Pipeline & Energy Fund, Inc. CEF",10/27/2011,US Equity,Single sector,Energy,"263,231,334.00  $",6%,2%,1.48,"15,971",Analyze,431
TWN,Taiwan Fund CEF,12/23/1986,Global Equity,Single country,Multi-cap,"263,650,970.00  $",8%,8%,1.05,"10,069",Analyze,432
TY,Tri-Continental Corporation CEF,01/05/1929,Asset Allocation,US,Moderate,"1,658,319,211.00  $",4%,4%,1.01,"76,211",Analyze,433
TYG,Tortoise Energy Infrastructure Corporation CEF,02/25/2004,Special Security Types,MLPs,Energy,"360,286,000.00  $",7%,7%,1.81,"117,795",Analyze,434
USA,Liberty All-Star Equity Fund CEF,11/05/1987,US Equity,Broad market,Large and mid cap,"1,683,271,671.00  $",11%,10%,1.00,"1,491,702",Analyze,435
UTF,"Cohen & Steers Infrastructure Fund, Inc. CEF",05/11/2004,US Equity,Thematic,Infrastructure,"2,442,240,576.00  $",8%,8%,1.46,"228,523",Analyze,436
UTG,Reaves Utility Income Fund CEF,02/25/2004,US Equity,Single sector,Utilities,"1,792,327,529.00  $",7%,7%,1.30,"273,233",Analyze,437
VBF,Invesco Bond Fund CEF,10/27/1994,US Fixed Income,Corporate bonds,Investment grade,"203,137,515.00  $",4%,9%,1.01,"41,767",Analyze,438
VCF,Delaware Investments Colorado Municipal Income Fund CEF,08/18/1995,US Fixed Income,Municipal bonds,Investment grade,"66,824,540.00  $",1%,9%,1.40,"11,233",Analyze,439
VCIF,Vertical Capital Income Fund CEF,05/29/2019,US Fixed Income,Mortgage backed,Unconstrained,"103,903,820.00  $",12%,22%,1.02,"21,475",Analyze,440
VCV,Invesco California Value Municipal Income Trust CEF,10/27/1994,US Fixed Income,Municipal bonds,Investment grade,"551,408,659.00  $",5%,6%,1.56,"119,523",Analyze,441
VFL,Delaware Investments National Municipal Income Fund CEF,08/18/1995,US Fixed Income,Municipal bonds,Investment grade,"59,050,910.00  $",4%,6%,1.45,"17,975",Analyze,442
VGI,Virtus Global Multi-Sector Income Fund CEF,02/24/2012,Global Fixed Income,Global,Broad market,"114,318,896.00  $",11%,11%,1.41,"36,016",Analyze,443
VGM,Invesco Trust for Investment Grade Municipals CEF,02/19/1992,US Fixed Income,Municipal bonds,Investment grade,"647,450,034.00  $",5%,7%,1.64,"167,587",Analyze,444
VKI,Invesco Advantage Municipal Income Trust II CEF,08/18/1995,US Fixed Income,Municipal bonds,Investment grade,"472,770,018.00  $",5%,7%,1.65,"120,010",Analyze,445
VKQ,Invesco Municipal Trust CEF,11/21/1991,US Fixed Income,Municipal bonds,Investment grade,"646,140,240.00  $",5%,7%,1.64,"154,284",Analyze,446
VLT,Invesco High Income Trust II CEF,06/30/1989,US Fixed Income,Broad market,High yield,"82,678,078.00  $",9%,8%,1.36,"28,620",Analyze,447
VMM,Delaware Investments Minnesota Municipal Income Fund II CEF,08/18/1995,US Fixed Income,Municipal bonds,Investment grade,"153,476,704.00  $",218%,6%,1.45,"27,460",Analyze,448
VMO,Invesco Municipal Opportunity Trust CEF,06/04/1992,US Fixed Income,Municipal bonds,Investment grade,"793,468,983.00  $",5%,7%,1.65,"195,749",Analyze,449
VPV,Invesco Pennsylvania Value Municipal Income Trust CEF,10/27/1994,US Fixed Income,Municipal bonds,Investment grade,"286,431,119.00  $",5%,6%,1.58,"44,620",Analyze,450
VTN,Invesco Trust For Investment Grade New York Municipals CEF,05/13/1992,US Fixed Income,Municipal bonds,Investment grade,"233,733,036.00  $",5%,6%,1.63,"50,370",Analyze,451
VVR,Invesco Senior Income Trust CEF,06/24/1998,US Fixed Income,Bank loans,Broad market,"676,395,853.00  $",7%,7%,1.58,"978,461",Analyze,452
WDI,Western Asset Diversified Income Fund CEF,06/25/2021,US Fixed Income,Broad market,Unconstrained,"859,085,900.00  $",5%,7%,1.00,"165,883",Analyze,453
WEA,Western Asset Premier Bond Fund CEF,03/27/2002,US Fixed Income,Broad market,Investment grade,"147,579,912.00  $",7%,8%,1.40,"31,207",Analyze,454
WIA,Western Asset/Claymore Inflation-Linked Securities & Income Fund CEF,09/29/2003,US Fixed Income,U.S. treasury bonds,Inflation-Protected,"274,269,731.00  $",12%,5%,1.51,"41,218",Analyze,455
WIW,Western Asset/Claymore Inflation-Linked Opportunities & Income Fund CEF,02/25/2004,US Fixed Income,U.S. treasury bonds,Inflation-Protected,"738,492,497.00  $",8%,5%,1.49,"152,184",Analyze,456
XFLT,XAI Octagon Floating Rate & Alternative Income Term Trust CEF,09/27/2017,US Fixed Income,Bank loans,Broad market,"265,414,826.00  $",10%,10%,1.80,"281,182",Analyze,457
ZTR,Virtus Global Dividend & Income Fund Inc. CEF,06/30/1989,Asset Allocation,US,Moderate,"436,775,308.00  $",11%,55%,1.40,"137,561",Analyze,458
